K7ES00_H3-3B,U3KQK0_H2BC15,P01814_IGHV2-70,A0A0B4J1X5_IGHV3-74
2.344215678,2.475034907,2.326712729,2.073654177
2.269478222,2.524037006,2.313765361,2.288897122
2.077871298,2.387455436,2.229780108,2.370725805
2.106722078,2.451699355,2.425432266,2.21620835
2.380183419,2.638020975,2.526851293,2.303706154
2.063493393,2.418731727,1.994959453,2.563334883
2.280433483,2.6165499,2.25438825,2.367993016
1.997516303,2.374371999,2.054843781,2.357785216
1.992990519,2.382069066,2.342898493,2.281904467
2.004111966,2.376642307,2.487250563,2.720416796
1.948256029,2.558267581,2.112243145,2.453474696
1.939301065,2.558003573,1.813826804,2.470044752
2.400029889,2.745497678,2.051912034,2.468539109
2.170840077,2.453265025,2.094260818,2.58833085
2.680936435,3.080113974,2.292328066,2.598469536
2.031922588,2.373754241,2.554959532,2.327185685
2.970297286,3.198755439,1.775348772,2.594375641
1.929849168,2.315118791,2.430566469,2.623960023
2.728472525,3.043790421,2.389303669,2.617834944
2.095873084,2.475772412,2.140092352,2.423628415
2.423178562,2.825319537,2.487780338,2.561980689
2.968479417,3.168124346,1.918214441,2.374457843
1.706449875,2.276940641,2.81671021,2.635243306
2.340880644,2.783936174,2.490085563,2.427563841
2.592651268,2.874793943,2.088459604,2.430423486
1.814834531,2.297396844,2.582433132,2.691648086
2.188194589,2.359886466,2.787986168,2.708491017
2.225659841,2.330494396,2.618053916,2.2712918
2.524258065,2.836297901,2.4462406,2.82981641
2.449334315,2.808480099,2.269011364,2.614400813
2.569329277,2.948666947,2.393235818,2.413495796
2.552488324,2.891213638,2.138572766,2.592248658
2.036666476,2.478566025,3.012523325,2.890556115
2.809972776,3.103694983,2.106390822,2.543105733
2.292280733,2.787387014,2.444701179,2.387775791
2.580546263,2.999918998,2.574454923,3.1517781
2.574744928,2.965446502,2.667275165,2.34773545
2.611925669,2.89602596,2.545482474,2.816520368
2.727033844,2.930496404,2.301160785,2.421127392
2.576718506,2.859941508,2.099254216,2.55727911
2.158329765,2.418522478,2.407593585,2.724753071
2.108138784,2.562576342,2.824868861,2.600733182
1.902066629,2.44845786,2.571950002,2.54183729
2.325128873,2.58877372,2.47213317,2.620628628
2.360758832,2.69852811,2.395876862,2.546419061
